state,county,tract,block group,Median household income,Population below poverty level,Hispanic or Latino population,Owner-occupied housing units,Workers 16+ with transportation,Population 25+ with Bachelor's degree,Total population,Median age,White alone (Non-Hispanic),Black alone (Non-Hispanic),Total housing units,Vacant housing units,Median home value,Median gross rent,In labor force,English only speakers,Spanish speakers
17,031,180100,1,107740.0,,501.0,244.0,470.0,122.0,859.0,43.0,336.0,0.0,333.0,0.0,314000.0,-666666666.0,513.0,,
17,031,180100,2,100889.0,,841.0,410.0,1094.0,263.0,1897.0,35.1,691.0,204.0,675.0,45.0,359800.0,1833.0,1133.0,,
17,031,180100,3,93281.0,,506.0,273.0,447.0,102.0,854.0,51.9,330.0,8.0,281.0,0.0,290300.0,-666666666.0,447.0,,
17,031,180100,4,84609.0,,959.0,319.0,755.0,138.0,1841.0,40.0,739.0,134.0,545.0,53.0,344600.0,-666666666.0,786.0,,
17,031,180100,5,94850.0,,792.0,237.0,817.0,231.0,1424.0,35.6,519.0,65.0,553.0,0.0,273700.0,2018.0,832.0,,
17,031,831600,1,98998.0,,757.0,227.0,577.0,36.0,975.0,47.8,166.0,29.0,375.0,32.0,292900.0,-666666666.0,577.0,,
17,031,831600,2,-666666666.0,,902.0,219.0,498.0,103.0,1268.0,37.5,207.0,80.0,464.0,87.0,307400.0,1463.0,586.0,,
17,031,831600,3,-666666666.0,,1053.0,320.0,671.0,88.0,1588.0,29.6,354.0,102.0,451.0,13.0,276700.0,1748.0,725.0,,
17,031,831600,4,35764.0,,430.0,167.0,674.0,124.0,1551.0,59.6,721.0,400.0,995.0,66.0,247400.0,1030.0,725.0,,
17,031,831600,5,82202.0,,1333.0,288.0,618.0,18.0,1638.0,39.1,304.0,0.0,392.0,0.0,315000.0,848.0,672.0,,
17,031,831600,6,64345.0,,19.0,25.0,83.0,30.0,189.0,62.3,126.0,18.0,97.0,0.0,316700.0,1410.0,86.0,,
17,031,190100,1,53717.0,,2071.0,202.0,1238.0,232.0,2403.0,36.4,221.0,58.0,908.0,51.0,344300.0,888.0,1370.0,,
17,031,190200,1,118800.0,,1297.0,183.0,949.0,284.0,1628.0,33.5,149.0,15.0,392.0,0.0,344900.0,1434.0,1063.0,,
17,031,190200,2,-666666666.0,,963.0,158.0,513.0,133.0,1468.0,25.7,378.0,18.0,360.0,0.0,468200.0,1289.0,555.0,,
17,031,190200,3,75556.0,,1667.0,319.0,808.0,131.0,1727.0,35.4,22.0,25.0,548.0,8.0,361200.0,1322.0,833.0,,
17,031,190200,4,95809.0,,494.0,231.0,479.0,101.0,930.0,38.9,151.0,231.0,389.0,58.0,321300.0,1192.0,574.0,,
17,031,190300,1,60601.0,,835.0,150.0,589.0,52.0,1069.0,51.2,186.0,0.0,477.0,24.0,356400.0,-666666666.0,641.0,,
17,031,190300,2,57344.0,,886.0,264.0,612.0,125.0,1276.0,37.2,265.0,16.0,562.0,27.0,402200.0,1162.0,623.0,,
17,031,190300,3,85375.0,,1373.0,336.0,1174.0,345.0,2138.0,42.4,411.0,33.0,775.0,40.0,282800.0,1162.0,1219.0,,
17,031,190300,4,92714.0,,772.0,237.0,509.0,124.0,1126.0,40.1,187.0,118.0,344.0,16.0,336600.0,1453.0,509.0,,
17,031,170100,1,41699.0,,210.0,915.0,763.0,346.0,1959.0,60.9,1496.0,98.0,1114.0,29.0,256200.0,2000.0,800.0,,
17,031,170200,1,118393.0,,333.0,274.0,555.0,89.0,867.0,50.4,512.0,1.0,322.0,0.0,369600.0,-666666666.0,594.0,,
17,031,170200,2,110669.0,,912.0,413.0,714.0,314.0,1713.0,36.2,645.0,7.0,464.0,0.0,345000.0,-666666666.0,732.0,,
17,031,170200,3,51466.0,,411.0,366.0,583.0,180.0,1077.0,49.3,636.0,5.0,507.0,0.0,261500.0,1019.0,632.0,,
17,031,170300,1,88819.0,,135.0,84.0,278.0,46.0,411.0,51.2,258.0,0.0,267.0,52.0,423600.0,1319.0,308.0,,
17,031,170300,2,109464.0,,458.0,367.0,498.0,186.0,1202.0,51.2,701.0,0.0,421.0,18.0,335300.0,-666666666.0,529.0,,
17,031,170300,3,128819.0,,370.0,171.0,395.0,84.0,816.0,45.3,446.0,0.0,260.0,21.0,398800.0,1707.0,395.0,,
17,031,170300,4,121406.0,,318.0,317.0,537.0,91.0,1019.0,41.9,540.0,0.0,353.0,20.0,364500.0,-666666666.0,555.0,,
17,031,170300,5,78286.0,,415.0,503.0,816.0,198.0,1591.0,42.0,959.0,0.0,648.0,0.0,357900.0,1131.0,888.0,,
