state,county,tract,Population with personal vehicle
17,031,250200,707.0
17,031,250300,1319.0
17,031,250400,1670.0
17,031,250500,2961.0
17,031,250600,1585.0
17,031,250700,1376.0
17,031,250800,692.0
17,031,251000,315.0
17,031,251100,1124.0
17,031,251200,1215.0
17,031,251300,1023.0
17,031,251400,745.0
17,031,251500,1083.0
17,031,251600,961.0
17,031,251700,475.0
17,031,251800,1057.0
17,031,251900,1174.0
17,031,252000,1223.0
17,031,252101,403.0
17,031,252102,1033.0
17,031,252201,710.0
17,031,252202,1117.0
